iter	Passed	Remaining
0	306	305952
1	307	153510
2	308	102513
3	309	77059
4	310	61759
5	311	51568
6	312	44280
7	313	38815
8	313	34567
9	314	31184
10	315	28395
11	316	26079
12	317	24121
13	318	22445
14	319	20990
15	320	19717
16	323	18729
17	324	17720
18	325	16814
19	326	16005
20	327	15272
21	328	14606
22	329	13997
23	330	13435
24	331	12921
25	332	12447
26	333	12006
27	334	11599
28	335	11224
29	336	10869
30	337	10537
31	338	10226
32	339	9934
33	339	9659
34	340	9400
35	341	9153
36	342	8920
37	343	8702
38	344	8495
39	345	8295
40	346	8110
41	347	7930
42	348	7758
43	349	7599
44	350	7442
45	351	7294
46	352	7150
47	353	7012
48	354	6879
49	355	6753
50	356	6631
51	357	6513
52	358	6401
53	359	6291
54	360	6187
55	360	6085
56	361	5988
57	362	5895
58	364	5806
59	364	5717
60	365	5631
61	366	5548
62	367	5468
63	368	5391
64	369	5316
65	370	5243
66	371	5172
67	372	5104
68	373	5036
69	374	4971
70	375	4908
71	376	4846
72	376	4786
73	378	4731
74	379	4676
75	380	4622
76	381	4567
77	381	4514
78	382	4462
79	383	4411
80	384	4363
81	385	4316
82	386	4265
83	387	4221
84	387	4176
85	388	4133
86	389	4090
87	390	4049
88	391	4008
89	392	3970
90	393	3932
91	394	3895
92	395	3858
93	396	3821
94	397	3785
95	398	3751
96	399	3716
97	400	3682
98	401	3649
99	401	3617
100	402	3585
101	403	3554
102	404	3523
103	405	3493
104	406	3464
105	407	3438
106	408	3411
107	409	3383
108	410	3356
109	411	3329
110	412	3303
111	413	3278
112	414	3252
113	415	3227
114	416	3202
115	417	3178
116	417	3153
117	418	3130
118	419	3107
119	420	3085
120	421	3062
121	422	3039
122	423	3019
123	424	2998
124	425	2977
125	426	2957
126	427	2935
127	428	2915
128	428	2896
129	429	2877
130	430	2857
131	431	2838
132	432	2820
133	433	2801
134	434	2783
135	435	2765
136	436	2748
137	437	2732
138	438	2714
139	439	2698
140	440	2681
141	440	2663
142	441	2647
143	442	2630
144	443	2615
145	444	2599
146	445	2582
147	445	2567
148	446	2551
149	447	2536
150	448	2521
151	449	2507
152	450	2492
153	451	2478
154	452	2464
155	453	2451
156	453	2437
157	454	2423
158	455	2410
159	456	2397
160	457	2382
161	458	2369
162	459	2357
163	459	2344
164	460	2332
165	461	2320
166	462	2309
167	463	2297
168	464	2285
169	465	2274
170	466	2263
171	468	2253
172	468	2241
173	469	2230
174	471	2223
175	473	2216
176	475	2209
177	476	2198
178	476	2187
179	478	2179
180	479	2169
181	480	2159
182	481	2149
183	482	2140
184	484	2133
185	485	2125
186	486	2116
187	487	2106
188	488	2096
189	489	2087
190	490	2077
191	491	2068
192	492	2058
193	493	2049
194	494	2040
195	495	2032
196	496	2023
197	497	2015
198	498	2006
199	499	1997
200	500	1989
201	501	1980
202	502	1972
203	503	1964
204	504	1956
205	505	1948
206	506	1940
207	507	1932
208	508	1924
209	509	1916
210	510	1908
211	511	1901
212	512	1894
213	513	1886
214	514	1878
215	515	1870
216	516	1862
217	516	1854
218	517	1846
219	518	1838
220	519	1831
221	520	1824
222	521	1816
223	522	1809
224	523	1802
225	524	1796
226	526	1791
227	527	1786
228	528	1779
229	529	1772
230	530	1766
231	531	1759
232	532	1752
233	533	1745
234	534	1739
235	535	1733
236	536	1726
237	537	1720
238	538	1713
239	539	1707
240	540	1700
241	541	1695
242	542	1690
243	543	1684
244	544	1678
245	545	1671
246	546	1666
247	547	1660
248	548	1654
249	549	1648
250	550	1643
251	551	1637
252	552	1631
253	553	1626
254	554	1620
255	555	1614
256	557	1610
257	558	1605
